customer_id,first_purchase,last_purchase,purchase_count,total_spent,avg_order_value,std_order_value,num_transactions,customer_lifetime_days
CUST00001,2023-01-01,2024-12-29,414,30167.19,72.86760869565217,62.96183979248654,414,728
CUST00002,2023-01-02,2024-12-31,389,28438.49,73.10665809768638,67.49218505076433,389,729
CUST00003,2023-01-08,2024-12-31,380,29317.52,77.15136842105264,66.24050723822918,380,723
CUST00004,2023-01-01,2024-12-31,428,31068.48,72.58990654205607,66.48128529949773,428,730
CUST00005,2023-01-02,2024-12-30,400,30233.15,75.582875,67.82295937608963,400,728
CUST00006,2023-01-01,2024-12-28,372,27344.42,73.50650537634408,68.2025230907828,372,727
CUST00007,2023-01-01,2024-12-31,395,28361.54,71.80136708860759,66.94800711753544,395,730
CUST00008,2023-01-03,2024-12-31,416,32020.29,76.97185096153846,71.96724569685982,416,728
CUST00009,2023-01-05,2024-12-26,363,27278.69,75.14790633608816,65.49186176528283,363,721
CUST00010,2023-01-03,2024-12-31,357,25859.21,72.4347619047619,62.81640048551969,357,728
CUST00011,2023-01-02,2024-12-31,400,31025.14,77.56285,70.85437828166799,400,729
CUST00012,2023-01-01,2024-12-27,377,26557.37,70.44395225464191,57.9105136940282,377,726
CUST00013,2023-01-01,2024-12-28,374,29091.64,77.78513368983957,71.35006468963658,374,727
CUST00014,2023-01-02,2024-12-31,371,26144.92,70.47148247978436,60.557093366388585,371,729
CUST00015,2023-01-02,2024-12-30,397,30548.96,76.94952141057934,71.1728198888592,397,728
CUST00016,2023-01-01,2024-12-28,400,30238.03,75.595075,64.53951954385587,400,727
CUST00017,2023-01-01,2024-12-31,402,31427.52,78.17791044776119,66.20169456444397,402,730
CUST00018,2023-01-01,2024-12-31,389,30438.96,78.24925449871465,73.07271556477019,389,730
CUST00019,2023-01-05,2024-12-31,372,28300.56,76.07677419354839,64.85779148452991,372,726
CUST00020,2023-01-04,2024-12-31,388,29378.76,75.71845360824742,69.82920575528452,388,727
CUST00021,2023-01-01,2024-12-31,372,26276.41,70.63551075268818,65.14818681093054,372,730
CUST00022,2023-01-01,2024-12-31,400,29770.0,74.425,62.57977311806726,400,730
CUST00023,2023-01-06,2024-12-31,365,25468.71,69.77728767123287,64.6335081464357,365,725
CUST00024,2023-01-05,2024-12-28,350,26433.98,75.52565714285714,64.88627192432473,350,723
CUST00025,2023-01-05,2024-12-31,377,27796.04,73.72954907161804,67.33731411633896,377,726
CUST00026,2023-01-02,2024-12-31,409,30412.38,74.35789731051345,65.95869731468485,409,729
CUST00027,2023-01-03,2024-12-31,389,26656.53,68.52578406169665,57.77539975384103,389,728
CUST00028,2023-01-01,2024-12-30,405,29680.4,73.28493827160494,64.09591560185595,405,729
CUST00029,2023-01-03,2024-12-30,418,30721.47,73.49633971291867,63.40406565612373,418,727
CUST00030,2023-01-06,2024-12-29,380,28379.14,74.68194736842105,70.66459873517682,380,723
CUST00031,2023-01-02,2024-12-27,389,29264.27,75.22948586118252,63.92103422775081,389,725
CUST00032,2023-01-01,2024-12-29,383,29015.09,75.75741514360314,68.73739816234142,383,728
CUST00033,2023-01-01,2024-12-27,399,29301.22,73.43664160401003,64.63067639990253,399,726
CUST00034,2023-01-05,2024-12-27,363,26919.3,74.15785123966943,62.7080387386011,363,722
CUST00035,2023-01-01,2024-12-27,391,30569.62,78.18317135549871,72.97531734574088,391,726
CUST00036,2023-01-04,2024-12-31,425,33259.92,78.25863529411764,67.13405016830959,425,727
CUST00037,2023-01-01,2024-12-28,362,28602.53,79.0125138121547,69.89396538914049,362,727
CUST00038,2023-01-04,2024-12-30,371,29681.54,80.00415094339623,72.65972836796794,371,726
CUST00039,2023-01-03,2024-12-30,354,25930.33,73.2495197740113,67.57354150602691,354,727
CUST00040,2023-01-01,2024-12-31,423,30889.11,73.02390070921986,63.10921733746557,423,730
CUST00041,2023-01-01,2024-12-31,369,28563.22,77.40710027100272,66.25359590317595,369,730
CUST00042,2023-01-03,2024-12-29,383,28079.66,73.31503916449086,63.74046128769871,383,726
CUST00043,2023-01-01,2024-12-29,380,27769.81,73.07844736842105,64.72846906585511,380,728
CUST00044,2023-01-06,2024-12-31,377,29800.38,79.04610079575598,70.08300005131015,377,725
CUST00045,2023-01-01,2024-12-27,395,30813.73,78.00944303797468,69.19725786572549,395,726
CUST00046,2023-01-01,2024-12-31,401,33385.54,83.25571072319202,72.42013016458966,401,730
CUST00047,2023-01-03,2024-12-23,367,27756.1,75.62970027247955,69.5426459376423,367,720
CUST00048,2023-01-01,2024-12-28,407,31979.45,78.57358722358723,67.2680580689023,407,727
CUST00049,2023-01-04,2024-12-30,419,32640.61,77.90121718377088,70.57605296319852,419,726
CUST00050,2023-01-01,2024-12-31,379,29390.25,77.54683377308707,68.82118132481597,379,730
CUST00051,2023-01-04,2024-12-31,393,29604.96,75.33068702290076,71.71956035515694,393,727
CUST00052,2023-01-08,2024-12-30,335,22929.81,68.44719402985075,64.36800683630808,335,722
CUST00053,2023-01-01,2024-12-29,381,28001.5,73.49475065616798,61.337465620024304,381,728
CUST00054,2023-01-04,2024-12-31,394,29141.21,73.962461928934,65.2069980421506,394,727
CUST00055,2023-01-01,2024-12-30,372,28037.34,75.3691935483871,70.21997294137162,372,729
CUST00056,2023-01-04,2024-12-31,373,26461.99,70.94367292225202,62.18769457997542,373,727
CUST00057,2023-01-01,2024-12-31,381,28703.66,75.33769028871392,66.68805169884662,381,730
CUST00058,2023-01-02,2024-12-31,375,29872.37,79.65965333333332,71.17726551986138,375,729
