ds,yhat,yhat_lower,yhat_upper,trend,yearly,weekly,safety_stock,reorder_point,order_quantity,stock_status
2023-01-01,198839.11398555432,190192.7337152575,208622.34881649766,196984.692672,0.003455956421273209,0.002144230121612449,1031114.5391756757,1229953.65316123,5965173.419566629,Normal
2023-01-02,197546.10735796264,188300.07551730933,205862.43181736622,196989.48599986863,0.003004562527150011,-0.0015771801975322589,1024409.4301745506,1221955.5375325133,5926383.220738879,Normal
2023-01-03,197609.11868137895,187369.83512706845,206982.2481298006,196994.27932773728,0.0025864396203559665,0.003024216357905698,1024736.1862659702,1222345.3049473492,5928273.560441368,Normal
2023-01-04,197368.3442316112,187647.32878934365,206648.68879406675,196999.0726556059,0.002208895620960713,0.0054987910042086086,1023487.6088063281,1220855.9530379393,5921050.326948336,Normal
2023-01-05,196181.09683273974,187353.03813645674,205416.61414107354,197003.86598347456,0.001878016101733693,0.0006628200000342232,1017330.9325365687,1213512.0293693084,5885432.904982192,Normal
2023-01-06,194796.92043482073,185461.89992752025,203953.68352834738,197008.6593113432,0.001598619113344247,-0.007936701527917684,1010153.0469582725,1204949.9673930933,5843907.613044621,Normal
2023-01-07,196556.2267122873,186773.44264992778,205959.42725761211,197013.45263921184,0.0013742375403983961,-0.00181617575828298,1019276.2332630082,1215832.4599752955,5896686.801368618,Normal
2023-01-08,197760.0281463232,188183.7557929706,207539.29813667576,197018.2459670805,0.001207127788440343,0.00214423012160574,1025518.7533388375,1223278.7814851608,5932800.844389696,Normal
2023-01-09,197188.87672317072,187744.01052295385,207558.97012611415,197023.03929494912,0.0010983031048743506,-0.0015771801975349325,1022556.9490706583,1219745.825793829,5915666.301695121,Normal
2023-01-10,198159.79082242853,189253.1451824197,207196.09040690432,197027.83262281775,0.0010475894065110438,0.0030242163579150575,1027591.7916827014,1225751.58250513,5944793.724672856,Normal
2023-01-11,198830.4063536966,188877.64096189398,207608.77502061857,197032.62595068643,0.0010537011296819655,0.0054987910042106495,1031069.384248004,1229899.7906017005,5964912.190610898,Normal
2023-01-12,198168.55169053972,188615.10878251752,206631.39631338452,197037.41927855505,0.0011143343398985278,0.0006628200000223653,1027637.2226761522,1225805.774366692,5945056.5507161915,Normal
2023-01-13,196612.67405654874,187880.02737147603,205820.59014502028,197042.21260642368,0.0012262741387628786,-0.007936701527922769,1019568.9507077766,1216181.6247643253,5898380.2216964625,Normal
2023-01-14,197564.629834458,187706.9000926184,206836.68319178474,197047.00593429233,0.00138551328639362,-0.00181617575827134,1024505.4816728352,1222070.1115072933,5926938.8950337395,Normal
2023-01-15,197772.93629293563,188718.09682569807,207042.7763537485,197051.799262161,0.0015873789157412424,0.0021442301216068283,1025585.6907606513,1223358.6270535868,5933188.088788069,Normal
2023-01-16,196547.81457670964,186761.44580557194,205444.1337063096,197056.5925900296,0.0018266642468973693,-0.0015771801975244882,1019232.6106822906,1215780.4252590002,5896434.437301289,Normal
2023-01-17,197444.89949167182,187801.62338813147,207476.07841771934,197061.38591789827,0.0020977623092927034,0.0030242163579171895,1023884.5993184897,1221329.4988101614,5923346.984750154,Normal
2023-01-18,198442.6723294868,189425.6795234039,208780.63613344202,197066.17925598996,0.002394798840393753,0.005498791004210106,1029058.7225543252,1227501.394883812,5953280.169884604,Normal
2023-01-19,198126.1366969725,188368.63861588898,206580.18332715708,197070.97259408163,0.0027117617430987254,0.0006628200000170887,1027417.2724074676,1225543.4091044401,5943784.100909175,Normal
2023-01-20,196686.28943162388,187231.96198467174,205617.01063269674,197075.76593217332,0.003042624741434993,-0.007936701527921742,1019950.6959390108,1216636.9853706346,5900588.682948716,Normal
2023-01-21,197571.82346254264,188856.9752778982,206956.01611819124,197080.559270265,0.003381463165914601,-0.0018161757582751356,1024542.7854726702,1222114.608935213,5927154.703876279,Normal
2023-01-22,197736.70479378648,187811.17560234474,207517.93562378766,197085.35260835668,0.0037225601161707837,0.0021442301216079173,1025397.8060693549,1223134.5108631414,5932101.143813594,Normal
2023-01-23,196602.48200655004,187609.88167820958,205705.53296826227,197090.14594644838,0.004060501579714827,-0.0015771801975334948,1019516.0980736692,1216118.5800802193,5898074.460196502,Normal
2023-01-24,197638.81939088413,188437.86002815975,207394.16019588994,197094.93928454004,0.004390259422253034,0.0030242163579193206,1024890.2044205514,1222529.0238114356,5929164.581726524,Normal
2023-01-25,198682.10888561545,189598.81655609308,207638.4973480521,197099.73262263174,0.00470726149841625,0.005498791004209743,1030300.362135622,1228982.4710212373,5960463.266568463,Normal
2023-01-26,198338.4677221379,189352.69599232465,208196.17280871628,197104.52596072343,0.005007448453747454,0.0006628200000085214,1028518.351580361,1226856.8193024988,5950154.031664137,Normal
2023-01-27,197020.2472303735,187543.6941156738,206010.39146796628,197109.3192988151,0.005287317092520236,-0.007936701527924816,1021682.4917354195,1218702.738965793,5910607.416911205,Normal
2023-01-28,198380.85179237238,189242.22290025564,208043.72594296766,197114.1126369068,0.005543950465365179,-0.0018161757582947746,1028738.1414907677,1227118.99328314,5951425.553771172,Normal
2023-01-29,199289.14033679254,190376.7478455565,208481.33235030773,197118.90597499846,0.005775035081083026,0.0021442301216090063,1033448.2284809279,1232737.3688177203,5978674.210103776,Normal
2023-01-30,198751.9303236693,189466.2030465828,208285.63470057733,197123.69931309015,0.00597886586494315,-0.0015771801975298359,1030662.4332517139,1229414.363575383,5962557.909710079,Normal
2023-01-31,199769.06086377293,190212.04003225893,208612.06546844207,197128.49265118185,0.006154339668995593,0.003024216357925067,1035936.9391933198,1235706.0000570926,5993071.825913188,Normal
2023-02-01,200025.21650148282,190380.4916224244,209350.10754279973,197133.2859892735,0.006300938287430902,0.0054987910042119635,1037265.2784573624,1237290.4949588452,6000756.495044485,Normal
2023-02-02,198441.96370913606,189323.37420821268,207300.23246006708,197138.0793273652,0.006418702042095686,0.0006628199999999542,1029055.0478812102,1227497.0115903462,5953258.911274082,Normal
2023-02-03,195998.9282543473,186389.63535102006,205235.27825632703,197142.87267907386,0.006508195080942454,-0.007936701527917681,1016386.2659365402,1212385.1941908875,5879967.847630419,Normal
